id,Name,Brand,Category,SubCategory,Price,Size,Quantity
132,Tata Sampann Organic Unpolished Urad Dal,Tata Sampann,Grocery,Dals,142.0,500 gm,78
133,Falcon UAE Dates Seeded,Falcon,Grocery,Grocery/Dry Fruits,150.0,500 gm,35
134,Organic Tattva Urad Dal White Split,Organic Tattva,Grocery,Dals,145.0,500 gm,32
135,Azmah Dates,Candor,Grocery,Dry Fruits,625.0,500 gm,77
136,Apis Premium Seeded Dates,,Grocery,Dry Fruits,120.0,500 gm,41
137,Royal Delight Finest Ajwa Dates,Royal Delight,Grocery,Dry Fruits,549.0,250 gm,78
138,Organic Tattva Urad Dal Whole White,Organic Tattva,Grocery,Dals,145.0,500 gm,64
139,Royal Delight Finest Mabroom Dates,Royal Delight,Grocery,Dry Fruits,425.0,250 gm,53
140,Royal Delight Finest Safavi Dates,Royal Delight,Grocery,Dry Fruits,349.0,250 gm,89
141,Masoor Dal,,Grocery,Dals,68.0,500 gm,83
142,Masoor Dal,,Grocery,Dals,133.0,1 kg,65
143,Premia Kismis Indian (Raisins),Premia,Grocery,Grocery/Dry Fruits,42.0,100 gm,97
144,Premia Kismis Indian (Raisins),Premia,Grocery,Grocery/Dry Fruits,81.0,200 gm,52
145,Premia Kismis Indian (Raisins),Premia,Grocery,Grocery/Dry Fruits,186.0,500 gm,123
146,Chana Small,,Grocery,Pulses,94.0,1 kg,149
147,Chana Small,,Grocery,Pulses,48.0,500 gm,34
148,Chana Big,,Grocery,Pulses,73.0,500 gm,104
149,Tata Sampann Masoor Dal,Tata,Grocery,Dals,86.0,500 gm,54
150,Tata Sampann Masoor Dal,Tata,Grocery,Dals,170.0,1 kg,90
151,Premia Kismis Black (Raisins),Premia,Grocery,Grocery/Dry Fruits,60.0,100 gm,80
152,Premia Kismis Black (Raisins),Premia,Grocery,Grocery/Dry Fruits,119.0,200 gm,51
153,Nutraj Raisins - Kishmish,Nutraj,Grocery,Dry Fruits,299.0,500 gm,120
154,Chana Green,,Grocery,Pulses,144.0,500 gm,29
155,Premia Kismis Black Seedless,Premia,Grocery,Dry Fruits,47.0,100 gm,79
156,Satyam Masur Dal,Satyam,Grocery,Dals,93.0,500 gm,118
157,Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,Grocery,Dry Fruits,95.0,200 gm,100
158,Mahafruit Premium Quality Kishmish (Raisins),Mahafruit,Grocery,Dry Fruits,215.0,500 gm,25
159,Premia Kismis Selected (Raisins),Premia,Grocery,Grocery/Dry Fruits,73.0,100 gm,82
160,Premia Kismis Selected (Raisins),Premia,Grocery,Grocery/Dry Fruits,148.0,200 gm,146
161,Satyam Chana Mosambi,Satyam,Grocery,Pulses,90.0,500 gm,57
162,KMK Black Raisins Seedless (Kismis),Kanji Manji Kothari,Grocery,Dry Fruits,150.0,200 gm,108
